genes	PT_Myc_PTEN_MGT_b1_TPM	PT_Myc_PTEN_MGT_b2_TPM	PT_Myc_PTEN_MGT_b3_TPM	PT_Myc_PTEN_MGT_b4_TPM	PT_Myc_PTEN_MGT_b5_TPM	PT_Myc_PTEN_MGT_b6_TPM	PT_Myc_PTEN_MGT_b7_TPM	PT_Myc_PTEN_MGT_b8_TPM	PT_Myc_PTEN_MGT_b9_TPM	PT_Myc_PTEN_MGT_b10_TPM	PT_Myc_PTEN_MGT_b11_TPM	PT_Myc_PTEN_MGT_b12_TPM	PT_Myc_PTEN_MGT_b13_TPM
0610005C13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610007P14Rik	116.1837296	122.5273577	93.77564178	117.4776942	96.38724856	119.6730532	121.53772	114.7498735	55.4873321	87.49097749	79.13270555	94.53350551	82.0264125
0610009B22Rik	76.34930804	58.25071106	60.56343531	59.73442077	59.01260116	80.35190716	76.21857014	60.19665495	49.6465603	57.66450789	42.60991837	62.39211364	64.02061464
0610009L18Rik	8.298837831	4.017290418	5.860977611	3.982294718	3.93417341	15.38653541	6.179884065	9.405727335	11.6815436	3.976862613	2.029043732	11.34402066	10.00322104
0610009O20Rik	34.85511889	32.13832334	37.11952487	39.82294718	33.44047399	47.86922129	72.09864743	65.84009135	51.10675325	39.76862613	44.6389621	45.37608264	58.01868202
0610010B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610010F05Rik	16.59767566	18.07780688	17.58293283	21.90262095	19.67086705	17.09615046	35.01934304	20.69260014	10.22135065	15.90745045	18.26139359	24.57871143	22.00708628
0610010K14Rik	86.30791344	74.31987273	84.00734576	85.61933643	68.84803468	66.67498679	53.55899523	63.95894588	84.69119109	85.50254619	105.5102741	66.17345386	36.01159573
0610012G03Rik	81.32861074	66.2852919	62.51709452	53.76097869	64.91386127	66.67498679	49.43907252	73.36467322	128.4969796	63.62980181	66.95844316	60.50144353	62.01997043
0610030E20Rik	23.23674593	22.0950973	27.35122885	27.87606302	27.53921387	23.93461064	37.07930439	28.21718201	18.98250835	25.84960699	20.29043732	41.59474242	22.00708628
